Date,Cyano,Green.Algae,Diatoms,Total.Conc,Reflection,Mesocosm.No,Pred.Treatment,Heat.Treatment,Treatment,Rep,Period
22/07/2019,0.26,0,0.99,1.25,6,40,Present,Ambient,5,4,Ambient
22/07/2019,0.22,0,0.67,0.89,7,41,Absent,Ambient,6,5,Ambient
22/07/2019,0.42,0,1.51,1.93,8,42,Absent,Ambient,6,6,Ambient
22/07/2019,0.2,0,1.19,1.39,7,43,Present,Ambient,5,5,Ambient
22/07/2019,0.27,0,1.31,1.58,8,44,Present,Ambient,5,6,Ambient
22/07/2019,0.2,0,0.78,0.98,6,45,Absent,Ambient,6,7,Ambient
22/07/2019,0.39,0,1.28,1.67,10,46,Absent,Ambient,6,8,Ambient
22/07/2019,0.33,0,2.5,2.83,2,47,Present,Ambient,5,7,Ambient
22/07/2019,0.32,0.05,1.07,1.44,14,48,Present,Ambient,5,8,Ambient
22/07/2019,0.5,0,2.12,2.62,9,9,Absent,Future,2,5.1,Initial
22/07/2019,0.76,0,2.59,3.35,9,9,Absent,Future,2,5.2,Initial
22/07/2019,0.46,0,2.15,2.61,14,10,Absent,Future,2,6.1,Initial
22/07/2019,0.61,0,3.48,4.09,14,10,Absent,Future,2,6.2,Initial
22/07/2019,0.59,0,2.5,3.09,12,11,Present,Future,1,5.1,Initial
22/07/2019,0.27,0,1.25,1.52,11,11,Present,Future,1,5.2,Initial
22/07/2019,0.9,0,3.38,4.28,12,12,Present,Future,1,6.1,Initial
22/07/2019,0.52,0,2.99,3.51,13,12,Present,Future,1,6.2,Initial
22/07/2019,0.52,0,2.8,3.32,7,13,Absent,Future,2,7.1,Initial
22/07/2019,0.28,0.08,1.97,2.33,18,13,Absent,Future,2,7.2,Initial
22/07/2019,0.42,0.06,2.19,2.67,14,14,Absent,Future,2,8.1,Initial
22/07/2019,0.22,0,1.26,1.48,8,14,Absent,Future,2,8.2,Initial
22/07/2019,0.64,0,3.32,3.96,11,15,Present,Future,1,7.1,Initial
22/07/2019,0.29,0,1.17,1.46,11,15,Present,Future,1,7.2,Initial
22/07/2019,0.29,0,2.15,2.44,8,16,Present,Future,1,8.1,Initial
22/07/2019,0.42,0,2.45,2.87,10,16,Present,Future,1,8.2,Initial
22/07/2019,0.46,0,2.44,2.9,8,25,Absent,Current,4,5.1,Initial
22/07/2019,0.33,0.22,2.16,2.71,15,25,Absent,Current,4,5.2,Initial
22/07/2019,0.23,0.53,0.88,1.64,15,26,Absent,Current,4,6.1,Initial
22/07/2019,0.63,0.12,2.29,3.04,15,26,Absent,Current,4,6.2,Initial
22/07/2019,0.45,0,3,3.45,1,27,Present,Current,3,5.1,Initial
22/07/2019,0.32,0.04,1.84,2.2,17,27,Present,Current,3,5.2,Initial
22/07/2019,0.23,0.44,1.48,2.15,16,28,Present,Current,3,6.1,Initial
22/07/2019,0.2,0.18,1.47,1.85,17,28,Present,Current,3,6.2,Initial
22/07/2019,0.32,0,3.64,3.96,3,29,Absent,Current,4,7.1,Initial
22/07/2019,0.36,0,1.78,2.14,6,29,Absent,Current,4,7.2,Initial
22/07/2019,0.28,0.37,1.44,2.09,14,30,Absent,Current,4,8.1,Initial
22/07/2019,0.35,0.72,1.38,2.45,18,30,Absent,Current,4,8.2,Initial
22/07/2019,0.39,0.94,1.63,2.96,12,31,Present,Current,3,7.1,Initial
22/07/2019,0.38,0,2.42,2.8,20,31,Present,Current,3,7.2,Initial
22/07/2019,0.76,0,3.99,4.75,14,32,Present,Current,3,8.1,Initial
22/07/2019,0.39,0,2.71,3.1,7,32,Present,Current,3,8.2,Initial
22/07/2019,0.24,0.42,1.46,2.12,8,41,Absent,Ambient,6,5.1,Ambient
22/07/2019,0.43,0,2.77,3.2,9,41,Absent,Ambient,6,5.2,Ambient
22/07/2019,0.24,0,1.61,1.85,7,42,Absent,Ambient,6,6.1,Ambient
22/07/2019,0.4,0,3.5,3.9,17,42,Absent,Ambient,6,6.2,Ambient
22/07/2019,0.57,0,2.8,3.37,11,43,Present,Ambient,5,5.1,Ambient
22/07/2019,0.39,0.18,2.57,3.14,14,43,Present,Ambient,5,5.2,Ambient
22/07/2019,0.4,0,2.98,3.38,14,44,Present,Ambient,5,6.1,Ambient
22/07/2019,0.19,0,1.11,1.3,16,44,Present,Ambient,5,6.2,Ambient
22/07/2019,0.34,0.17,2.32,2.83,14,45,Absent,Ambient,6,7.1,Ambient
22/07/2019,0.49,0.13,2.75,3.37,13,45,Absent,Ambient,6,7.2,Ambient
22/07/2019,0.56,0.36,2.36,3.28,8,46,Absent,Ambient,6,8.1,Ambient
22/07/2019,0.32,0,2.15,2.47,5,46,Absent,Ambient,6,8.2,Ambient
22/07/2019,0.38,0,2.71,3.09,8,47,Present,Ambient,5,7.1,Ambient
22/07/2019,0.32,0.09,2.12,2.53,12,47,Present,Ambient,5,7.2,Ambient
22/07/2019,0.36,0,1.81,2.17,10,48,Present,Ambient,5,8.1,Ambient
22/07/2019,0.58,0,2.64,3.22,7,48,Present,Ambient,5,8.2,Ambient
23/07/2019,0.28,0,1.21,1.49,13,1,Absent,Future,2,1,Initial
23/07/2019,0.22,0.42,0.69,1.33,16,2,Absent,Future,2,2,Initial
23/07/2019,0.33,0,2.38,2.71,3,3,Present,Future,1,1,Initial
23/07/2019,0.48,0,2.61,3.09,12,4,Present,Future,1,2,Initial
23/07/2019,0.28,0.31,0.92,1.51,10,5,Absent,Future,2,3,Initial
23/07/2019,0.36,0,1.58,1.94,14,6,Absent,Future,2,4,Initial
23/07/2019,0.43,0,1.89,2.32,12,7,Present,Future,1,3,Initial
23/07/2019,0.21,0.27,0.48,0.96,18,8,Present,Future,1,4,Initial
23/07/2019,0.35,0.16,1.46,1.97,14,9,Absent,Future,2,5,Initial
23/07/2019,0.31,0.11,1.52,1.94,15,10,Absent,Future,2,6,Initial
23/07/2019,0.67,0,2.08,2.75,12,11,Present,Future,1,5,Initial
23/07/2019,0.46,0,2.57,3.03,8,12,Present,Future,1,6,Initial
23/07/2019,0.59,0,2.51,3.1,8,13,Absent,Future,2,7,Initial
23/07/2019,0.34,0.04,1.33,1.71,13,14,Absent,Future,2,8,Initial
23/07/2019,0.65,0,2.19,2.84,13,15,Present,Future,1,7,Initial
23/07/2019,0.39,0,1.9,2.29,8,16,Present,Future,1,8,Initial
23/07/2019,0.2,0.28,0.56,1.04,19,17,Absent,Current,4,1,Initial
23/07/2019,0.59,0,2.16,2.75,8,18,Absent,Current,4,2,Initial
23/07/2019,0.27,0.52,1.22,2.01,16,19,Present,Current,3,1,Initial
23/07/2019,0.34,0,1.78,2.12,5,20,Present,Current,3,2,Initial
23/07/2019,0.34,0,2.15,2.49,1,21,Absent,Current,4,3,Initial
